corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-cze	CS0062_1895_Rais_Kalibuv-zlocin	CS0062	Rais, Karel Václav	Kalibův zločin	1859	1926	M	viaf:50033731	1895	NA	NA	1895	National Library of the Czech Republic	NA	cs	51873	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0095_1920_Hasek_Osudy-dobreho-vojaka-Svejka	CS0095	Hašek, Jaroslav	Osudy dobrého vojáka Švejka za světové války	1883	1923	M	viaf:4931097	1920	NA	NA	1920	National Library of the Czech Republic	NA	cs	116696	NA	NA	long	unspecified	T4
ELTeC-cze	CS0026_1856_Nemcova_Pohorska-vesnice	CS0026	Němcová, Božena	Pohorská vesnice	1820	1862	F	viaf:56763450	1856	NA	NA	1856	National Library of the Czech Republic	NA	cs	63737	NA	NA	medium	unspecified	T1
ELTeC-cze	CS0043_1886_Jirasek_Psohlavci	CS0043	Jirásek, Alois	Psohlavci	1851	1930	M	viaf:34469656	1886	NA	NA	1886	National Library of the Czech Republic	NA	cs	69817	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0047_1888_Cech_Pravy-vylet-pana-Broucka-do-Mesice	CS0047	Čech, Svatopluk	Pravý výlet pana Broučka do Měsíce	1846	1908	M	viaf:47560290	1888	NA	NA	1888	National Library of the Czech Republic	NA	cs	24645	NA	NA	short	unspecified	T3
ELTeC-cze	CS0011_1864_Svestka_Posledni-vecer-v-roce	CS0011	Švestka, Josef	Poslední večer v roce	1816	1882	M	NA	1864	NA	NA	1864	National Library of the Czech Republic	NA	cs	16488	NA	NA	short	low	T2
ELTeC-cze	CS0054_1891_Zeyer_Jan-Maria-Plojhar	CS0054	Zeyer, Julius	Jan Maria Plojhar	1841	1901	M	viaf:24621314	1891	NA	NA	1891	National Library of the Czech Republic	NA	cs	92578	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0087_1915_Smilovsky_Parnassie	CS0087	Šmilovský, Alois Vojtěch	Parnassie	1837	1883	M	viaf:295593657	1915	NA	NA	1915	National Library of the Czech Republic	NA	cs	38348	NA	NA	short	unspecified	T4
ELTeC-cze	CS0055_1893_Jelinek_Motylek-z-norske-pohadky	CS0055	Jelínek, Edvard	Motýlek z norské pohádky	1855	1897	M	viaf:56167322	1893	NA	NA	1893	National Library of the Czech Republic	NA	cs	46595	NA	NA	short	unspecified	T3
ELTeC-cze	CS0072_1902_Benes-Sumavsky_Otrokar	CS0072	Beneš-Šumavský, Václav	Otrokář	1850	1934	M	viaf:100393519	1902	NA	NA	1902	National Library of the Czech Republic	NA	cs	70049	NA	NA	medium	unspecified	T4
ELTeC-cze	CS0066_1897_Popelkova_Za-jeden-hrich	CS0066	Popelková, Anna	Za jeden hřích	1866	1928	F	viaf:83867922	1897	NA	NA	1897	National Library of the Czech Republic	NA	cs	66432	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0096_1900_Filip_Markyza-s-trojim-srdcem	CS0096	Filip, Otakar	Markýza s trojím srdcem	1874	1931	M	viaf:83707680	1900	NA	NA	1900	National Library of the Czech Republic	NA	cs	58855	NA	NA	medium	unspecified	T4
ELTeC-cze	CS0048_1889_Simacek_Bratri	CS0048	Šimáček, Matěj Anastasia	Bratři	1860	1913	M	viaf:56167367	1889	NA	NA	1889	National Library of the Czech Republic	NA	cs	57604	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0052_1890_Jirasek_Filosofska-historie	CS0052	Jirásek, Alois	Filosofská historie	1851	1930	M	viaf:34469656	1890	NA	NA	1890	National Library of the Czech Republic	NA	cs	32331	NA	NA	short	unspecified	T3
ELTeC-cze	CS0005_1857_Kricensky_Lichvar-a-pokoutnik	CS0005	Křičenský, Josef Jaroslav	Lichvář a pokoutník	1809	1886	M	NA	1857	NA	NA	1857	NA	NA	cs	39143	NA	NA	short	low	T1
ELTeC-cze	CS0057_1893_Mrstik_Santa-Lucia	CS0057	Mrštík, Vilém	Santa Lucia	1863	1912	M	viaf:22185988	1893	NA	NA	1893	National Library of the Czech Republic	NA	cs	97502	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0050_1889_Cech_Novy-epochalni-vylet-pana-Broucka	CS0050	Čech, Svatopluk	Nový epochální výlet pana Broučka, tentokrát do patnáctého století	1846	1908	M	viaf:47560290	1889	NA	NA	1889	National Library of the Czech Republic	NA	cs	46682	NA	NA	short	unspecified	T3
ELTeC-cze	CS0100_1914_Baar_K-bohu	CS0100	Baar, Jindřich Šimon	K bohu	1869	1925	M	viaf:54946709	1914	NA	NA	1914	National Library of the Czech Republic	NA	cs	79789	NA	NA	medium	unspecified	T4
ELTeC-cze	CS0001_1855_Stroupeznicka_Boure	CS0001	Stroupežnická, Marie	Bouře aneb oučinky zlého svědomí	1809	1883	F	NA	1855	NA	NA	1855	National Library of the Czech Republic	NA	cs	11784	NA	NA	short	low	T1
ELTeC-cze	CS0071_1899_Svobodova_Zamotana-vlakna	CS0071	Svobodová, Růžena	Zamotaná vlákna	1868	1920	F	viaf:50749113	1899	NA	NA	1899	National Library of the Czech Republic	NA	cs	71239	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0020_1885_Karas_Cesky-plavec-na-severu	CS0020	Karas, Matěj	Český plavec na severu	1839	1898	M	NA	1885	NA	NA	1885	National Library of the Czech Republic	NA	cs	10605	NA	NA	short	low	T3
ELTeC-cze	CS0040_1881_Vinaricky_Tajnosti-Svatovaclavske-trestnice	CS0040	Vinařický, Karel Alois	Tajnosti Svatováclavské trestnice v Praze, aneb, Pomstychtivost ženy	1803	1869	M	viaf:37280683	1881	NA	NA	1881	National Library of the Czech Republic	NA	cs	85423	NA	NA	medium	unspecified	T3
ELTeC-cze	CS0065_1897_Mrstik_Pohadka-maje	CS0065	Mrštík, Vilém	Pohádka máje	1863	1912	M	viaf:22185988	1897	NA	NA	1897	National Library of the Czech Republic	NA	cs	109814	NA	NA	long	unspecified	T3
